"Pueblo Paleta","Pallet Town","Masara Town","Ruta 1 y Ruta 21"
"Ciudad Verde","Viridian City","Tokiwa City","Ruta 1, Ruta 2 y Ruta 22"
"Ciudad Plateada","Pewter City","Nibi City","Ruta 2 , Ruta 3 y Cueva Diglett"
"Ciudad Celeste","Cerulean City","Hanada City","Ruta 24, Ruta 5, Ruta 4 y Ruta 9"
"Ciudad Carmín","Vermilion City","Kuchiba City","Ruta 6, Ruta 11 y Cueva Diglett"
"Pueblo Lavanda","Lavender Town","Shion Town","Ruta 10, Ruta 12 y Ruta 8"
"Ciudad Azulona","Celadon City","Tamamushi City","Ruta 7 y Ruta 16"
"Ciudad Fucsia","Fuchsia City","Sekichiku Cuty","Ruta 19, Ruta 18 y Ruta 15"
"Ciudad Azafrán","Saffron City","Yamabuki City","Ruta 5, Ruta 6, Ruta 7 y Ruta 8"
"Isla Canela","Cinnabar Island","Guren Island","Ruta 21 y Ruta 20"
"Pueblo Primavera","New Bark Town","Wakaba Town","Ruta 29"
"Ciudad Cerezo","Cherrygrove City","Yoshino City","Ruta 29 y Ruta 30"
"Ciudad Malva","Violet City","Kikyo City","Ruta 36, Ruta 32 y Ruta 31"
"Pueblo Azalea","Azalea Town","Hiwada Town","Ruta 33"
"Ciudad Trigal","Goldenrod City","Cogane City","Ruta 35 y Ruta 34"
"Ciudad Iris","Ecruteak City","Enju City","Ruta 37, Ruta 42 y Ruta 38"
"Ciudad Olivo","Olivine City","Asagi City","Ruta 39 y Ruta 40"
"Ciudad Orquídea","Cianwood City","Tanba City","Ruta 41"
"Pueblo Caoba","Mahogany Town","Choji Town","Ruta 42, Ruta 44 y Ruta 43"
"Ciudad Endrino","Blackthorn City","Fusube City","Ruta Helada y Ruta 45"
"Villa Raíz","Littleroot Town","Mishiro Town","Ruta 101"
"Pueblo Escaso","Oldale Town","Kotoki Town","Ruta 101, Ruta 102 y Ruta 103"
"Ciudad Petalia","Petalburg City","Touka City","Ruta 102 y Ruta 104"
"Ciudad Férrica","Rustboro City","Kanazumi City","Ruta 115, Ruta 116 y Ruta 104"
